"Категория","Подкатегория","Тип","Название","Фасовка","Упаковка","Здание","Комната","Место","Фирма","Каталог","Дата.изменения","Примечания"
"Пластик","Масс-спек","ZipTip","Milipore Ziptips, 10 uL","96 шт","3 упак","РЦ","М_протеомная","Тумбочка в мал протеомной","",NA,2019-09-18,NA
"Пластик","Носы фильтрованные","10","Ecopac Cleanroom 10uL XL Sterile Filtered Tip Refil inserts x12","96 шт","12 упак","РЦ","Офис","Шкаф с пластиком","",NA,2019-09-18,NA
"Пластик","Носы фильтрованные","20","Ecopac Cleanroom 20uL XL Sterile Filtered Tip Refil","96 шт","4 упак","РЦ","Офис","Шкаф с пластиком","",NA,2019-09-18,NA
"Пластик","Носы","200","200uL Bulk Yellow, Beveled, Graduated Tips","800 шт","1 упак","РЦ","М_протеомная","Мал протеомная","",NA,2019-09-18,NA
"Пластик","Носы","2000","2000uL Vertex EcoPac Refil Inserts","96 шт","10 упак","РЦ","Офис","Шкаф с пластиком","",NA,2019-09-18,NA
"Пластик","Носы","5000","epT.I.P.S. Standart/Bulk 5000 uL - 100 шт","100 шт","1 упак","РЦ","Офис","Шкаф с пластиком","",NA,2019-09-18,NA
"Пластик","Носы","1000","Pipette Micro Tips PPT 100-1000uL","700 шт","1 упак","РЦ","М_протеомная","Мал протеомная","",NA,2019-09-18,NA
"Пластик","Колонки","0.5","Amicon Ultra - 0,5mL","300 шт","2 упак","РЦ","М_протеомная","Тумбочка в мал протеомной","",NA,2019-09-18,NA
"Пластик","Пробирки","0.5","Пробирки 0,5 мл, градуированные, 0,5 мл","1000 шт","1 упак","РЦ","М_протеомная","Тумбочка в мал протеомной","",NA,2019-09-18,NA
"Пластик","Пробирки","1","Эпендорфы на 1 мл","1000 шт","1 упак","РЦ","Офис","Шкаф с пластиком","",NA,2019-09-18,NA
"Пластик","Пробирки","01.май","Эпендорфы на 1,5мл","1000 шт","1 упак","РЦ","Офис","Шкаф с пластиком","",NA,2019-09-18,NA
"Пластик","Иное","cups","Microspin Cups","100 шт","2 упак","РЦ","","","",NA,2019-09-18,NA
"Пластик","Пробирки","50","Фальконы 50 мл","50 шт","","РЦ","Офис","Шкаф с пластиком","",NA,2019-09-18,NA
"Пластик","Пробирки","15","Фальконы 15 мл","50 шт","","РЦ","Офис","Шкаф с пластиком","",NA,2019-09-18,NA
"Пластик","Иное","plate","96-well PCR Work-Up Racks","","5 шт","РЦ","Офис","Шкаф с пластиком","",NA,2019-09-18,NA
"Оборудование","","","Магнитный штатив МагСтенд-1,5","","2 шт","РЦ","М_протеомная","Мал протеомная","",NA,2019-09-18,NA
"Реактивы","","","PH Indicator Paper","100 шт","1 упак","РЦ","М_протеомная","Тумбочка в мал протеомной","",NA,2019-09-18,NA
"Пластик","","","ZOOM IPGRRunner Cassetes","10 шт","1 упак","РЦ","М_протеомная","Тумбочка в мал протеомной","",NA,2019-09-18,NA
"Оборудование","","","Syringe Disc Filter","","1 упак","РЦ","М_протеомная","Тумбочка в мал протеомной","",NA,2019-09-18,NA
"Реактивы","Вспомогательные реактивы","","dNTP, Евроген","5 шт","","РЦ","Б_протеомная","Мор_РНФ","",NA,2019-09-18,NA
"Реактивы","Вспомогательные реактивы","","10х Taq buffer, Евроген","5 шт","","РЦ","Б_протеомная","Мор_РНФ","",NA,2019-09-18,NA
"Реактивы","Ферменты","","Taq dna pol, Евроген","5 шт","","РЦ","Б_протеомная","Мор_РНФ","",NA,2019-09-18,NA
"Реактивы","Вспомогательные реактивы","","Gene ruler, Евроген","7 шт","","РЦ","Б_протеомная","Мор_РНФ","",NA,2019-09-18,NA
"Реактивы","Вспомогательные реактивы","","8x LD, Евроген","2 шт","","РЦ","Б_протеомная","Мор_РНФ","",NA,2019-09-18,NA
"Реактивы","Вспомогательные реактивы","","Вода, Евроген","1 шт","","РЦ","Б_протеомная","Мор_РНФ","",NA,2019-09-18,NA
"Реактивы","Вспомогательные реактивы","","100 bp DNA lader, Евроген","","2 упак","РЦ","Б_протеомная","Мор_РНФ","",NA,2019-09-18,NA
"Реактивы","Киты","","Proteo prep Reduction and Alkylation Kin, Sigma-Aldrich Co","","1 упак","РЦ","Б_протеомная","Мор_РНФ","",NA,2019-09-18,NA
"Реактивы","Киты","","Tersus Plus PCR Kit, Евроген","","1 упак","РЦ","Б_протеомная","Мор_РНФ","",NA,2019-09-18,NA
"Реактивы","Вспомогательные реактивы","","5х Screen Mix- HS, Евроген","10 шт","1 упак","РЦ","Б_протеомная","Мор_РНФ","",NA,2019-09-18,NA
"Реактивы","Вспомогательные реактивы","","Буфер для разведения ДНК, Евроген","4 шт","2 упак","РЦ","Б_протеомная","Мор_РНФ","",NA,2019-09-18,NA
"Реактивы","Ферменты","","Proteinase K","","1 упак","РЦ","Б_протеомная","Мор_РНФ","",NA,2019-09-18,NA
"Реактивы","Ферменты","","Протеиназа К лиофилизированная, Евроген","","1 упак","РЦ","Б_протеомная","Мор_РНФ","",NA,2019-09-18,NA
"Реактивы","Вспомогательные реактивы","","75% EtOH","","","РЦ","Б_протеомная","Мор_РНФ","",NA,2019-09-18,NA
"Реактивы","Киты","","TransformAid Bacterial Transformation Kit, Thermo Scientific","40 реакции","2 упак","РЦ","Коридор_РЦ_2","Мор_Арина","",NA,2019-09-18,NA
"Реактивы","Киты","","TaqDNA Kit Polymerase Mix, Евроген","","3 упак","РЦ","Коридор_РЦ_2","Мор_Арина","",NA,2019-09-18,NA
"Реактивы","Киты","","Encylo Plus Size, Евроген","","1 упак","РЦ","Коридор_РЦ_2","Мор_Арина","",NA,2019-09-18,NA
"Реактивы","Киты","","ScreenMix HS, Евроген","9 шт","2 упак","РЦ","Коридор_РЦ_2","Мор_Арина","",NA,2019-09-18,NA
"Реактивы","Киты","","RevertAid First Standart cDNA Synthesis Kit, Thermo Scientific","100 реакции","1 упак","РЦ","Коридор_РЦ_2","Мор_Арина","",NA,2019-09-18,NA
"Реактивы","Протеомика","","Диметилформамид для мечения, Lumiprope","","1 упак","РЦ","Коридор_РЦ_2","Мор_Арина","",NA,2019-09-18,NA
"Реактивы","Протеомика","","Су3-краситель для 2D электрофореза, Lumiprobe","","1 упак","РЦ","Коридор_РЦ_2","Мор_Арина","",NA,2019-09-18,NA
"Реактивы","Протеомика","","Су5-краситель для 2D электрофореза, Lumiprobe","","1 упак","РЦ","Коридор_РЦ_2","Мор_Арина","",NA,2019-09-18,NA
"Реактивы","Вспомогательные реактивы","","10x Dream Taq Buffer, Thermo Scientific","4 шт","1 упак","РЦ","Коридор_РЦ_2","Мор_Арина","",NA,2019-09-18,NA
"Реактивы","Вспомогательные реактивы","","10х Taq Buffer with KCl, Thermo Scientific","4 шт","3 упак","РЦ","Коридор_РЦ_2","Мор_Арина","",NA,2019-09-18,NA
"Реактивы","Протеомика","","Chaps Ultra Pure Grade, Amresco Reagents","","1 шт","РЦ","Коридор_РЦ_2","Мор_Арина","",NA,2019-09-18,NA
"Реактивы","Вспомогательные реактивы","","ITaq Universal SYBR Green Supermix 1 мл, Bio-Rad","4 шт","1 упак","РЦ","Коридор_РЦ_2","Мор_Арина","",NA,2019-09-18,NA
"Реактивы","Ферменты","","Trypsin from bovene pancreas, Sigma-Aldrich Co","","1 шт","РЦ","Коридор_РЦ_2","Мор_Арина","",NA,2019-09-18,NA
"Реактивы","Протеомика","","Zoom Strip pH 3-10L, Invitrogen™ Novex™","","6 шт","РЦ","Коридор_РЦ_2","Мор_Арина","",NA,2019-09-18,NA
"Реактивы","Протеомика","","Cyanine-Dye-2D gel electrophoresis Fluophores minimal labeling kit,
 Lumiprobe","","1 упак","РЦ","Коридор_РЦ_2","Мор_Арина","",NA,2019-09-18,NA
"Реактивы","Киты","","iScriptReverse Transciption Supermix for RT -qPCR, Bio-Rad","6 шт","1 упак","РЦ","Коридор_РЦ_2","Мор_Арина","",NA,2019-09-18,NA
"Реактивы","","","Proteinase K, Helicon","","1 упак","РЦ","Коридор_РЦ_2","Мор_Арина","",NA,2019-09-18,NA
"Реактивы","Ферменты","","DreamTaq DNA Polimerase, Thermo Scientific","3 шт","2 упак","РЦ","Коридор_РЦ_2","Мор_Арина","",NA,2019-09-18,NA
"Реактивы","Вспомогательные реактивы","","SYBR-Green 1 для PCR-RT, Евроген","","1 упак","РЦ","Коридор_РЦ_2","Мор_Арина","",NA,2019-09-18,NA
"Реактивы","Вспомогательные реактивы","","Буффер для разведения ДНК, Евроген","1 шт","1 упак","РЦ","Коридор_РЦ_2","Мор_Арина","",NA,2019-09-18,NA
"Реактивы","Вспомогательные реактивы","","50+ bp DNA Ladder, Евроген","","1 упак","РЦ","Коридор_РЦ_2","Мор_Арина","",NA,2019-09-18,NA
"Реактивы","Вспомогательные реактивы","","100 bpDNA Ladder, Евроген","3 шт","1 упак","РЦ","Коридор_РЦ_2","Мор_Арина","",NA,2019-09-18,NA
"Реактивы","Ферменты","","SNPdetest Polymerase, Евроген","","1 упак","РЦ","Коридор_РЦ_2","Мор_Арина","",NA,2019-09-18,NA
"Реактивы","Протеомика","","Bio-Lyte 3-10 buffer 100х 1 ml, Bio-Rad","","1 шт","РЦ","Коридор_РЦ_2","Мор_Арина","",NA,2019-09-18,NA
"Реактивы","Протеомика","","ReadyStrip Ipq Strips, Bio-Rad","","1 упак","РЦ","Коридор_РЦ_2","Мор_Арина","",NA,2019-09-18,NA
"Реактивы","Ферменты","","T4 DNA Ligase, Thermo Scientific","","1 упак","РЦ","Коридор_РЦ_2","Мор_Арина","",NA,2019-09-18,NA
"Реактивы","Вспомогательные реактивы","","Смесь dNTP(10mM каждого), Евроген","6 шт","1 упак","РЦ","Коридор_РЦ_2","Мор_Арина","",NA,2019-09-18,NA
"Реактивы","Ферменты","","FastDigest SaqAI, Thermo Scientific","3 шт","2 упак","РЦ","Коридор_РЦ_2","Мор_Арина","",NA,2019-09-18,NA
"Реактивы","Вспомогательные реактивы","","10х Taq buffer with (NH4)2 SO4 and 20mM MgCl2, Thermo Scientific","4 шт","1 упак","РЦ","Коридор_РЦ_2","Мор_Арина","",NA,2019-09-18,NA
"Реактивы","","","Itpq Solution ready-to-use, Thermo Scientific","5 шт","1 упак","РЦ","Коридор_РЦ_2","Мор_Арина","",NA,2019-09-18,NA
"Реактивы","Киты","","Proteo prep Reduction and Alkylation Kin, Sigma-Aldrich Co","","1 шт","РЦ","Коридор_РЦ_2","Хол_Арина","",NA,2019-09-18,NA
"Реактивы","Протеомика","","NuPage 4-12% Bis-Tris Zoom Gel, Invitrogen™ Novex™","13 шт","3 коробки","РЦ","Коридор_РЦ_2","Хол_Арина","",NA,2019-09-18,NA
"Реактивы","Протеомика","","Bolt 4-12% Bis Tris Plus, Invitrogen™ Novex™","8 шт","2 коробки","РЦ","Коридор_РЦ_2","Хол_Арина","",NA,2019-09-18,NA
"Реактивы","Протеомика","","ProQ Diamond photosphoprotein gel stain, Invitrogen™","","1 бутыль","РЦ","Коридор_РЦ_2","Хол_Арина","",NA,2019-09-18,NA
"Реактивы","Вспомогательные реактивы","","Стерильная вода","5 шт","13 упак","РЦ","Коридор_РЦ_2","Хол_Арина","",NA,2019-09-18,NA
"Реактивы","Киты","","Dynabeads mRNA DIRECT Kit,Invitrogen™","","1 шт","РЦ","Коридор_РЦ_2","Хол_Арина","",NA,2019-09-18,NA
"Реактивы","Киты","","ProoteoProfile Trypsin In-Gel Digest Kit, Sigma-Aldrich Co","","1 шт","РЦ","Коридор_РЦ_2","Хол_Арина","",NA,2019-09-18,NA
"Реактивы","Киты","","Qudye dsDNA HS Assay Kit, Lumiprobe","","1 шт","РЦ","Коридор_РЦ_2","Хол_Арина","",NA,2019-09-18,NA
"Реактивы","Киты","","Qudye Protein Quantification Kit, Lumiprobe","","1 шт","РЦ","Коридор_РЦ_2","Хол_Арина","",NA,2019-09-18,NA
"Реактивы","Вспомогательные реактивы","","4x Gel Loading Dye, Blue, Евроген","","1 упак","РЦ","Коридор_РЦ_2","Хол_Арина","",NA,2019-09-18,NA
"Реактивы","Протеомика","","Bolt - Mes SDS Running Buffer, Invitrogen™ Novex™","","1 шт","РЦ","Коридор_РЦ_2","Хол_Арина","",NA,2019-09-18,NA
"Реактивы","Протеомика","","SeeBlue Plus2 Prestained Standart, Invitrogen™","","3 шт","РЦ","Коридор_РЦ_2","Хол_Арина","",NA,2019-09-18,NA
"Реактивы","Протеомика","","Bolt Sample Reducing Agent (10х), Invitrogen™ Novex™","","2 шт","РЦ","Коридор_РЦ_2","Хол_Арина","",NA,2019-09-18,NA
"Реактивы","","","ESI-L Low Concentration Tunning Mix 2, Agilant Technologies","","2 шт","РЦ","Коридор_РЦ_2","Хол_Арина","",NA,2019-09-18,NA
"Реактивы","Протеомика","","Obtiblot Blue, abcam","","1 бутыль","РЦ","Коридор_РЦ_2","Хол_Арина","",NA,2019-09-18,NA
"Реактивы","","","Clarity Western ESL Substrate, Bio-Rad","","1 упак","РЦ","Коридор_РЦ_2","Хол_Арина","",NA,2019-09-18,NA
"Реактивы","Протеомика","","20 мл СН3СООNa","","","РЦ","Коридор_РЦ_2","Хол_Арина","",NA,2019-09-18,NA
"Реактивы","Протеомика","","Bolt LDS Sample buffer (4x), , Invitrogen™ Novex™","","1 шт","РЦ","Коридор_РЦ_2","Хол_Арина","",NA,2019-09-18,NA
"Реактивы","Вспомогательные реактивы","","TRI Reagent, Sigma-Aldrich Co","","1 шт","РЦ","Коридор_РЦ_2","Хол_Арина","",NA,2019-09-18,NA
"Реактивы","Киты","","MINT cDNA synthesis kit","","1 уп","Кафедра","Проходная","Хол_проходная","Евроген",NA,2019-09-18,NA
"Реактивы","Киты","","MINT-2 cDNA synthesis kit","","1 уп","Кафедра","Проходная","Хол_проходная","Евроген",NA,2019-09-18,NA
"Реактивы","","","Mint RACE primer set","","1 уп","Кафедра","Проходная","Хол_проходная","Евроген",NA,2019-09-18,NA
"Реактивы","Ферменты","","BCGL ???","","3 уп","Кафедра","Проходная","Хол_проходная","",NA,2019-09-18,NA
"Реактивы","Вспомогательные реактивы","","Precision Plus Protein
 Kaleidoscope Standarts, 500 мкл","","1 уп","Кафедра","Проходная","Хол_проходная","Bio-Rad",NA,2019-09-18,NA
"Реактивы","Киты","","Quick-TA kit","","2 уп","Кафедра","Проходная","Хол_проходная","Евроген",NA,2019-09-18,NA
"Реактивы","","","pGem-T Easy Vector System I","","1 уп","Кафедра","Проходная","Хол_проходная","Promega",NA,2019-09-18,NA
"Реактивы","","","18s РНК_R_Cy3","","2 уп","Кафедра","Проходная","Хол_проходная","",NA,2019-09-18,NA
"Реактивы","","","18s РНК_F_Cy3","","2 уп","Кафедра","Проходная","Хол_проходная","",NA,2019-09-18,NA
"Реактивы","","","telomere_Cy3","","2 уп","Кафедра","Проходная","Хол_проходная","",NA,2019-09-18,NA
"Реактивы","Киты","","ClaSeek Library Preparation Kit
 Illumina compatible","","1 уп","Кафедра","Проходная","Хол_проходная","Thermo Scientific",NA,2019-09-18,NA
"Реактивы","Киты","","CloneJet PCR Cloning Kit","","1 уп","Кафедра","Проходная","Хол_проходная","Thermo Scientific",NA,2019-09-18,NA
"Реактивы","","","MuSeek Index Set 1
 Illumina compatible","","2 уп","Кафедра","Проходная","Хол_проходная","Thermo Scientific",NA,2019-09-18,NA
"Реактивы","","","MuSeek Library Preparation Kit
 Illumina compatible","","1 уп","Кафедра","Проходная","Хол_проходная","Thermo Scientific",NA,2019-09-18,NA
"Реактивы","Протеомика","","Chaps Ultra Pure Grade","","2 уп","Кафедра","Проходная","Хол_проходная","Amresco Reagents",NA,2019-09-18,NA
"Реактивы","Протеомика","","CHAPS Detergent","","1 уп","Кафедра","Проходная","Хол_проходная","Bio-Rad",NA,2019-09-18,NA
"Реактивы","Ферменты","","Encylo полимераза","","1 уп","Кафедра","Проходная","Хол_проходная","Евроген",NA,2019-09-18,NA
"Реактивы","Вспомогательные реактивы","","1 kb DNA Ladder","","4 уп","Кафедра","Проходная","Хол_проходная","Евроген",NA,2019-09-18,NA
"Реактивы","Вспомогательные реактивы","","Page Ruler Broad Range
 Unstained Protein Ladder","2 шт","2 уп","Кафедра","Проходная","Хол_проходная","Thermo Scientific",NA,2019-09-18,NA
"Реактивы","Протеомика","","Cyanine-Dye 2D gel electrophoresis Fluophores minimal labeling kit","","1 уп","Кафедра","Проходная","Хол_проходная","Lumiprobe",NA,2019-09-18,NA
